x,Neutron Energy keV
14.56,5.1045
24.11,4.828
38.42,4.5762
53.93,4.2993
74.78,4.1223
89.68,3.9457
104.57,3.8193
123.03,3.7176
145.67,3.4652
171.86,3.363
203.42,3.1601
241.51,3.1072
275.44,2.9793
289.14,2.9282
304.02,2.8268
318.91,2.7756
334.38,2.7243
348.67,2.648
367.71,2.6717
387.35,2.6451
395.65,2.8952
399.17,3.271
399.93,6.7057
400.59,6.1791
400.91,3.647
401.31,5.2264
401.76,11.0302
401.96,4.7751
402.03,4.1984
402.1,8.3727
402.17,10.1653
402.23,7.3323
402.89,9.2125
402.89,11.5441
403.04,5.6274
404.41,11.3058
404.76,10.8294
404.89,7.4825
404.98,9.1246
405.09,8.2346
405.16,10.0773
405.65,6.1537
406.08,5.1383
406.16,6.818
407.37,4.361
408.77,5.0378
409,3.2202
409.52,3.7717
409.55,3.5586
409.78,4.0725
410.47,3.3329
417.7,2.6554
424.56,2.4669
432,2.4914
438.25,2.4659
443.61,2.4154
453.42,2.4397
458.77,2.5396
462.32,2.6396
464.69,2.7397
464.98,2.8024
465.86,2.8775
466.75,2.9652
470.05,2.7017
471.56,2.5011
473.96,2.3881
477.54,2.3251
482.9,2.2746
494.21,2.2612
505.01,2.1739
517.76,2.1097
528.64,2.0931
541.02,1.9975
552.65,1.9176
565.03,1.8378
577.04,1.7105
591.3,1.5673
604.81,1.4874
622.35,2.0547
635.05,2.4486
650.79,2.479
667.67,2.3672
684.92,2.2869
702.92,2.2224
720.18,2.0948
739.68,2.046
758.05,2.0131
777.55,1.9327
797.8,1.8838
819.18,1.7874
840.92,1.77
863.04,1.721
887.8,1.5771
